feature_id,feature_name,description,category,status,priority,source_repo,source_url,competitor_behavior,vision_fit,implementation_notes,acceptance_criteria,test_plan,risk_level,dependencies,owner_agent,branch_name,pr_url,review_notes,created_at,updated_at
F001,Metadata-filtered recall,"Allow recall(query, filters={...}) to narrow candidates by metadata fields before scoring, e.g. user_id, session_id, tags.",retrieval,accepted,high,mem0,https://github.com/mem0ai/mem0,"Mem0's search() accepts filters (e.g. user_id) applied before/alongside semantic search.","Directly improves local-first usability for multi-user/multi-agent apps without adding infra; stays inside existing SQLiteStore.","Extend MemoryStore.all()/query() to accept a filter predicate; keep default recall() behavior unchanged when no filters passed.","recall(query, filters={'user_id': 'x'}) only returns memories whose metadata matches; existing calls without filters are unaffected.","Add unit tests in tests/test_memory.py for filtered and unfiltered recall; verify eval/harness.py score unchanged.",low,none,unassigned,feat/metadata-filtered-recall,,,2026-07-07,2026-07-07
F002,Namespaced memories (users/sessions),"Support a namespace or user_id/session_id scoping concept so multiple agents/users can share one store without cross-contamination.",agent-integration,accepted,high,mem0,https://github.com/mem0ai/mem0,"Mem0 supports User, Session, and Agent level memory with adaptive personalization.","Needed for any real multi-tenant deployment; must remain optional so single-user zero-config usage is untouched.","Add optional namespace field on MemoryItem/remember(); recall()/reflect() scoped per namespace by default.","Two namespaces never see each other's memories in recall() or reflect(); default namespace preserves current single-tenant behavior.","Add tests covering isolation between namespaces and default backward-compatible behavior.",medium,F001,unassigned,feat/namespaced-memories,,,2026-07-07,2026-07-07
F003,SQLite schema migrations,"Introduce a lightweight migration mechanism (e.g. user_version pragma + migration functions) so schema can evolve safely.",storage-backends,accepted,high,,,"n/a - internal engineering gap identified while planning further storage changes.","Prerequisite for F001/F002/F007; keeps corticore's zero-setup SQLite promise while allowing safe schema evolution.","Add a migrations module in stores/sqlite_store.py; track schema version; apply migrations on connect.","Existing DBs open without data loss; new DBs start at latest schema version; migration failures raise a clear error.","Add tests that open a v1 DB fixture and confirm it upgrades cleanly; add test for fresh DB creation.",medium,none,unassigned,feat/sqlite-migrations,,,2026-07-07,2026-07-07
F004,Semantic embedder benchmark,"Benchmark the optional sentence-transformers embedder against the default LocalEmbedder on eval/harness.py and document the tradeoff.",evals-benchmarks,researching,medium,mem0;zep-graphiti,https://github.com/mem0ai/mem0;https://github.com/getzep/graphiti,"Both competitors use real semantic embeddings (dense vectors / LLM-assisted extraction) rather than lexical hashing.","corticore's README already promises corticore[st] closes the paraphrase gap noted in eval/BASELINE.md; this closes that documentation debt with real numbers.","Run eval/harness.py with SentenceTransformerEmbedder; record recall@k delta and latency/dependency cost in eval/BASELINE.md.","BASELINE.md updated with a second row comparing LocalEmbedder vs SentenceTransformerEmbedder on the same dataset.","Run eval/harness.py twice (default and st embedder) and diff results/*.json.",low,none,unassigned,feat/semantic-embedder-eval,,,2026-07-07,2026-07-07
F005,Async Memory API,"Provide async variants (aremember/arecall/areflect) for use inside async agent runtimes without blocking the event loop.",agent-integration,researching,medium,langgraph,https://docs.langchain.com/oss/python/langgraph/stores,"LangGraph's BaseStore requires async methods (aget/aput/asearch) as the primary interface, with sync as optional.","Useful for production agents built on async frameworks; must not force async dependency onto the zero-setup sync default.","Wrap existing sync SQLiteStore calls with asyncio.to_thread initially; revisit true async driver later if needed.","Async methods exist, are covered by tests, and sync API remains the default/documented path.","Add async test cases using pytest-asyncio or anyio; confirm no regression in sync test suite.",medium,F003,unassigned,feat/async-memory-api,,,2026-07-07,2026-07-07
F006,JSONL import/export,"Add mem.export_jsonl(path) and Memory.import_jsonl(path) for backup, migration, and debugging of a store's memories.",storage-backends,idea,medium,,,"n/a - common operational need not explicitly advertised by competitors but implied by their dashboards/export tooling.","Supports production operability (backup/restore) while staying dependency-free and file-based, consistent with corticore's local-first design.","Implement using existing MemoryItem serialization; round-trip through SQLiteStore.","Exporting then importing into a fresh store reproduces identical active memories (ids, text, metadata, status).","Add round-trip test: populate store, export, import into new store, assert equality.",low,F003,unassigned,feat/import-export-jsonl,,,2026-07-07,2026-07-07
F007,Structured memory types (semantic/episodic/procedural),"Tag memories with a type field (semantic, episodic, procedural) so retrieval and consolidation can reason type-aware.",retrieval,idea,low,letta,https://github.com/letta-ai/letta,"Letta/MemGPT distinguishes core, recall, and archival memory tiers with different roles in the agent loop.","Aligns with corticore's explainability goal (why() can cite type), but must avoid becoming a full agent runtime like Letta.","Add optional memory_type metadata convention; no required behavior change to remember()/recall() by default.","memory_type is queryable via metadata filters (F001); reflect()/recall() behavior is unchanged when memory_type is absent.","Add tests tagging memories with each type and filtering recall() by type.",low,F001,unassigned,feat/structured-memory-types,,,2026-07-07,2026-07-07
F008,Observability hooks (structured logging),"Emit structured log records (or a pluggable callback) on remember/recall/reflect events for production monitoring.",observability,idea,medium,zep-graphiti,https://github.com/getzep/graphiti,"Zep provides dashboards and debug logs for graph construction and retrieval in production.","Needed for production-grade deployments; should be a thin, optional hook so zero-setup usage is unaffected.","Add an optional on_event callback in Config or Memory constructor; call it alongside existing TraceEvent appends.","Passing a callback receives every TraceEvent already recorded internally; omitting it changes nothing.","Add test asserting callback invocation count matches number of trace events for a scripted sequence.",low,none,unassigned,feat/observability-hooks,,,2026-07-07,2026-07-07
F009,Postgres store production hardening,"Harden the existing optional PostgresStore (stores/postgres_store.py) with connection pooling, retries, and integration tests against a real Postgres instance.",production-hardening,idea,medium,mem0;langgraph,https://github.com/mem0ai/mem0;https://docs.langchain.com/oss/python/langgraph/stores,"Both Mem0 and LangGraph document production-grade Postgres/Mongo/Redis backed stores as the recommended path beyond prototyping.","corticore already advertises postgres as an optional extra; this closes the gap between 'exists' and 'production-grade'.","Audit stores/postgres_store.py for pooling/error handling; add docker-based integration tests gated behind an extras marker.","PostgresStore survives a documented integration test suite (create/read/update/delete/concurrent access) run against a real Postgres container.","Add tests/test_postgres_store.py integration cases; document how to run them locally (e.g. docker compose).",high,F003,unassigned,feat/postgres-hardening,,,2026-07-07,2026-07-07
F010,CLI inspection tool,"Add a small corticore CLI (list, recall, why, reflect) for inspecting a .db file from the terminal without writing a script.",docs-examples,idea,low,,,"n/a - competitors expose this via web dashboards (Mem0, Zep) rather than a CLI; corticore's local-first file-based model favors a CLI instead.","Fits corticore's zero-setup, inspectable philosophy better than a hosted dashboard; keeps everything local and scriptable.","Add a console_scripts entry point (e.g. corticore) using argparse, backed by the existing Memory API.","corticore recall <db> <query> and corticore why <db> <id> work against an existing SQLite file and print human-readable output.","Add a CLI smoke test invoking the entry point against a fixture DB.",low,none,unassigned,feat/cli-inspection-tool,,,2026-07-07,2026-07-07
F011,Knowledge-graph backend (rejected for v1),"Model memories and their relationships as a temporal knowledge graph, similar to Graphiti, instead of flat SQLite rows.",storage-backends,rejected,low,zep-graphiti,https://github.com/getzep/graphiti,"Graphiti builds and queries temporal knowledge graphs with entities/relationships and valid_at/invalid_at fact versioning, typically backed by Neo4j.","Conflicts with corticore's core promise of 'no graph database, no server' for the default path; graph backends are tracked as a future optional backend in research/design/DESIGN.md, not a v1 priority.","If pursued later, implement as an optional MemoryStore/backend (like PostgresStore) rather than replacing SQLiteStore.","N/A - rejected for now; revisit only if a specific paper/ADR in research/papers.yaml justifies the complexity tradeoff.","N/A",high,none,unassigned,,,"Rejected 2026-07-07: would require a graph database dependency, contradicting the zero-setup default; revisit as an opt-in backend only.",2026-07-07,2026-07-07
F012,Full agent runtime / self-editing agents (rejected),"Build a full stateful agent execution loop where agents self-edit their own memory blocks and system prompts, similar to Letta Code.",agent-integration,rejected,low,letta,https://github.com/letta-ai/letta-code,"Letta Code is a full agent harness where agents rewrite their own context/skills/prompts over long horizons.","Out of scope: corticore is explicitly a memory layer library, not an agent runtime; adopting this would duplicate LangGraph/Letta and dilute corticore's focus.","N/A",N/A,N/A,high,none,unassigned,,,"Rejected 2026-07-07: corticore should stay a pluggable memory layer other frameworks (LangGraph, custom agents) depend on, not a competing agent runtime.",2026-07-07,2026-07-07
